Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,CO2,CO2 temp
2013-08-03,2013-08-03,,St-Louis,Strasbourg,,,,
2013-08-03,2013-08-03,,Strasbourg,Paris Gare de l’Est,,,,
2013-08-03,2013-08-03,,Paris Austerlitz,Brive-la-Gaillarde,,,,
2013-08-17,2013-08-17,,Brive-la-Gaillarde,Paris Austerlitz,,,,
2013-08-17,2013-08-17,,Paris Gare de l’Est,Strasbourg,,,,
2013-08-17,2013-08-17,,Strasbourg,St-Louis,,,,
2014-03-08 07:40,2014-03-08 08:50,1:10,Basel SBB,Zürich Oerlikon,,,,
2014-03-08 08:58,2014-03-08 09:05,0:07,Zürich Oerlikon,Kloten,,,,
2014-03-08,2014-03-08,,Kloten,Zürich Oerlikon,,,,
2014-03-08,2014-03-08,,Zürich Oerlikon,Basel SBB,,,,
2015-03-12,2015-03-12,,Basel SBB,Bern,,,,
2015-03-12,2015-03-12,,Bern,Lausanne,,,,
2015-03-12,2015-03-12,,Lausanne,Bern,,,,
2015-03-12,2015-03-12,,Bern,Basel SBB,,,,
2015-03-13 16:34,2015-03-13 19:38,3:04,Basel SBB,Paris Gare de Lyon,TGV Lyria,9226,,
2015-03-15 18:23,2015-03-15 21:25,3:02,Paris Gare de Lyon,Basel SBB,TGV Lyria,9223,,
2015-07-12 06:40,2015-07-12 07:56,1:16,Basel SBB,Zürich Flughafen,IR,2059,,
2015-08-21 12:34,2015-08-21 15:37,3:03,Basel SBB,Paris Gare de Lyon,TGV Lyria,9218,,
2015-08-24 07:23,2015-08-24 10:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9203,,
2015-11-27 14:34,2015-11-27 17:37,3:03,Basel SBB,Paris Gare de Lyon,TGV Lyria,9222,,
2015-11-29 16:23,2015-11-29 19:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9219,,
2016-02-07 07:09,2016-02-07 07:27,0:18,Basel SBB,Sierentz,TER,96104,,
2016-07-01 14:34,2016-07-01 17:37,3:03,Basel SBB,Paris Gare de Lyon,TGV Lyria,9222,,
2016-07-03 16:23,2016-07-03 19:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9219,,
2016-07-30 10:59,2016-07-30 11:26,0:27,Wien Hbf,Baden bei Wien Bahnhof,REX,1,,
2016-07-30 17:33,2016-07-30 17:59,0:26,Baden bei Wien Bahnhof,Wien Hbf,REX,1,,
2016-12-01 06:31,2016-12-01 07:24,0:53,Basel SBB,Bern,EC,51,,
2016-12-01 07:34,2016-12-01 08:40,1:06,Bern,Lausanne,IC,706,,
2016-12-01 17:20,2016-12-01 18:26,0:53,Lausanne,Bern,IC,729,,
2016-12-01 18:36,2016-12-01 19:29,0:53,Bern,Basel SBB,IC,1080,,
2017-02-03 08:00,2017-02-03 09:09,1:09,St-Louis,Strasbourg,TER ,96212,,
2017-02-03 15:21,2017-02-03 16:30,1:09,Strasbourg,St-Louis,TER,96263,,
2017-06-28 15:24,2017-06-28 16:39,1:15,St-Louis,Strasbourg,TER,96228,,
2017-06-28 21:21,2017-06-28 22:36,1:15,Strasbourg,St-Louis,TER,96241,,
2017-07-28 14:34,2017-07-28 18:06,3:32,Basel SBB,Paris Gare de Lyon,TGV Lyria,9222,,
2017-08-07 07:23,2017-08-07 10:26,3:03,Paris Gare de Lyon,Basel SBB,TGV Lyria,9203,,
2017-09-22 19:20,2017-09-22 20:26,1:06,Lausanne,Bern,IC,733,,
2017-09-22 20:36,2017-09-22 21:29,0:53,Bern,Basel SBB,IC,1084,,
2017-09-24 19:31,2017-09-24 20:24,0:53,Basel SBB,Bern,IC,1085,,
2017-09-24 20:34,2017-09-24 21:40,1:06,Bern,Lausanne,IC,732,,
2017-10-06 19:20,2017-10-06 20:26,1:06,Lausanne,Bern,IC,733,,
2017-10-06 20:36,2017-10-06 21:29,0:53,Bern,Basel SBB,IC,1084,,
2017-10-08 19:31,2017-10-08 20:24,0:53,Basel SBB,Bern,IC,1085,,
2017-10-08 20:34,2017-10-08 21:40,1:06,Bern,Lausanne,IC,732,,
2017-10-20 19:20,2017-10-20 20:26,1:06,Lausanne,Bern,IC,733,,
2017-10-20 20:36,2017-10-20 21:29,0:53,Bern,Basel SBB,IC,1084,,
2017-10-20 21:39,2017-10-20 22:05,0:26,Basel SBB,Rixheim,TER,96142,,
2017-10-21 17:24,2017-10-21 17:32,0:08,Rixheim,Sierentz,TER,96133,0.3,
2017-10-22 08:57,2017-10-22 09:05,0:08,Sierentz,Rixheim,TER,96110,0.3,
2017-10-22 18:24,2017-10-22 18:50,0:26,Rixheim,Basel SBB,TER,96137,,
2017-10-22 19:31,2017-10-22 20:24,0:53,Basel SBB,Bern,IC,1085,,
2017-10-22 20:34,2017-10-22 21:40,1:06,Bern,Lausanne,IC,732,,
2017-11-03 19:20,2017-11-03 20:26,1:06,Lausanne,Bern,IC,733,,
2017-11-03 20:36,2017-11-03 21:29,0:53,Bern,Basel SBB,IC,1084,,
2017-11-05 18:42,2017-11-05 18:50,0:08,St-Louis,Basel SBB,TER,96137,0.03,
2017-11-05 19:31,2017-11-05 20:24,0:53,Basel SBB,Bern,IC,1085,,
2017-11-05 20:34,2017-11-05 21:40,1:06,Bern,Lausanne,IC,732,,
2017-11-24 19:20,2017-11-24 20:26,1:06,Lausanne,Bern,IC,733,,
2017-11-24 20:36,2017-11-24 21:29,0:53,Bern,Basel SBB,IC,1084,,
2017-11-26 19:31,2017-11-26 20:24,0:53,Basel SBB,Bern,IC,1085,,
2017-11-26 20:34,2017-11-26 21:40,1:06,Bern,Lausanne,IC,732,,
2017-12-01 19:20,2017-12-01 20:26,1:06,Lausanne,Bern,IC,733,,
2017-12-01 20:36,2017-12-01 21:29,0:53,Bern,Basel SBB,IC,1084,,
2017-12-03 19:31,2017-12-03 20:24,0:53,Basel SBB,Bern,IC,1085,,
2017-12-03 20:34,2017-12-03 21:40,1:06,Bern,Lausanne,IC,732,,
2017-12-22 19:20,2017-12-22 20:26,1:06,Lausanne,Bern,IC,733,,
2017-12-22 20:36,2017-12-22 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-01-01 19:31,2018-01-01 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-01-01 20:34,2018-01-01 21:40,1:06,Bern,Lausanne,IC,732,,
2018-01-11 19:20,2018-01-11 20:26,1:06,Lausanne,Bern,IC,733,,
2018-01-11 20:36,2018-01-11 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-01-12 19:31,2018-01-12 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-01-12 20:34,2018-01-12 21:40,1:06,Bern,Lausanne,IC,732,,
2018-01-27 19:20,2018-01-27 21:28,2:08,Lausanne,Zürich HB,IC,733,,
2018-01-27 21:37,2018-01-27 22:52,1:15,Zürich HB,Chur,IC,597,,
2018-02-03 19:05,2018-02-03 20:19,1:14,Chur,Zürich HB,IC,10584,,
2018-02-03 20:32,2018-02-03 22:40,2:08,Zürich HB,Lausanne,IC,734,,
2018-02-23 19:20,2018-02-23 20:26,1:06,Lausanne,Bern,IC,733,,
2018-02-23 20:36,2018-02-23 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-02-25 19:31,2018-02-25 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-02-25 20:34,2018-02-25 21:40,1:06,Bern,Lausanne,IC,732,,
2018-03-09 19:20,2018-03-09 20:26,1:06,Lausanne,Bern,IC,733,,
2018-03-09 20:36,2018-03-09 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-03-11 19:31,2018-03-11 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-03-11 20:34,2018-03-11 21:40,1:06,Bern,Lausanne,IC,732,,
2018-03-16 19:20,2018-03-16 20:26,1:06,Lausanne,Bern,IC,733,,
2018-03-16 20:36,2018-03-16 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-03-18 19:31,2018-03-18 20:24,0:53,Basel SBB,Bern,IC,1085,,
2018-03-18 20:34,2018-03-18 21:40,1:06,Bern,Lausanne,IC,732,,
2018-04-13 19:20,2018-04-13 20:26,1:06,Lausanne,Bern,IC,733,,
2018-04-13 20:36,2018-04-13 21:29,0:53,Bern,Basel SBB,IC,1084,,
2018-04-15 19:31,2018-04-15 19:55,0:24,Basel SBB,Olten,IC,10285,,
2018-04-15 20:02,2018-04-15 21:45,1:43,Olten,Lausanne,IC,1534,,
2018-05-18 14:44,2018-05-18 15:56,1:12,Lausanne,Bern,IR,2525,,
